301,161,293,391,894,659
300,162,295,393,893,658
299,160,295,392,892,656
301,161,295,395,892,657
300,160,293,390,891,654
299,159,295,393,891,655
300,160,295,394,892,657
300,161,296,396,892,658
301,162,296,395,892,658
299,159,295,390,890,652
299,160,295,393,891,654
296,157,293,386,889,648
293,154,291,380,886,643
291,153,291,381,887,643
293,155,292,383,887,645
291,152,290,379,886,641
290,151,291,379,885,642
291,154,293,383,887,643
292,154,293,384,888,644
292,155,294,385,888,645
292,155,291,380,885,642
290,152,293,380,885,639
286,151,291,374,882,633
283,148,291,374,882,633
284,149,291,374,882,634
284,149,292,376,883,635
285,150,290,373,882,633
281,147,291,371,879,629
280,148,290,371,879,629
280,147,293,374,881,631
282,148,291,372,881,629
279,147,293,372,881,628
279,146,293,372,880,629
280,147,293,373,880,629
279,147,290,367,879,626
277,145,291,368,880,625
276,144,289,364,877,622
274,143,289,363,875,620
274,143,287,360,875,619
273,142,288,362,875,619
273,142,287,359,875,619
273,143,289,362,876,622
273,142,286,359,875,620
272,141,285,357,875,618
270,140,281,352,872,615
270,139,280,351,873,614
268,138,280,349,871,614
268,138,280,349,871,614
267,138,282,352,872,615
270,140,283,354,873,617
268,138,280,350,871,615
266,137,277,344,869,610
263,135,275,343,869,610
263,134,273,339,867,609
265,135,273,340,868,610
264,134,273,341,869,610
265,135,275,343,869,611
264,134,272,338,866,608
263,134,272,338,867,608
261,132,270,336,866,607
263,134,271,338,867,609
263,133,273,341,868,610
264,134,271,339,867,611
265,134,268,338,868,613
269,136,270,344,873,620
272,137,270,346,875,624
274,137,266,341,872,621
275,138,268,344,874,623
273,136,264,337,870,618
269,134,262,336,870,618
270,134,258,332,869,618
269,133,259,333,870,619
270,133,258,331,869,618
