831,1311,2994,3332,3311,1573
843,1321,2951,3281,3309,1569
848,1319,2990,3334,3318,1584
846,1333,2980,3317,3312,1575
821,1268,2953,3280,3310,1572
844,1315,2994,3342,3319,1588
851,1342,3004,3360,3323,1598
855,1351,3004,3364,3325,1598
854,1348,3020,3392,3330,1611
864,1379,3050,3435,3330,1618
856,1369,3042,3422,3331,1616
866,1412,3066,3461,3333,1628
860,1395,3060,3460,3336,1635
869,1425,3067,3471,3337,1640
865,1401,3052,3446,3331,1624
860,1396,3077,3467,3322,1617
847,1421,3077,3456,3316,1605
849,1377,3048,3419,3321,1603
854,1374,3029,3392,3320,1596
851,1355,3026,3386,3320,1595
851,1350,3029,3389,3320,1595
852,1372,3052,3427,3322,1607
851,1377,3038,3400,3318,1594
845,1370,3053,3415,3313,1590
844,1362,3024,3377,3313,1584
842,1327,2983,3308,3304,1562
840,1321,2988,3320,3308,1570
837,1308,2969,3286,3300,1555
832,1287,2942,3246,3292,1544
832,1289,2967,3282,3297,1553
834,1304,2977,3297,3300,1556
829,1287,2962,3271,3294,1546
830,1296,2975,3287,3296,1549
831,1285,2957,3271,3297,1551
840,1319,2999,3328,3303,1564
831,1304,2979,3296,3298,1553
835,1315,3013,3344,3303,1565
825,1311,3011,3332,3294,1550
827,1323,3018,3345,3295,1554
825,1320,3015,3338,3292,1549
822,1310,2999,3308,3287,1539
817,1315,3006,3310,3281,1531
812,1296,2998,3284,3267,1510
804,1269,2980,3271,3275,1522
792,1231,2929,3184,3247,1482
792,1245,2974,3234,3242,1479
770,1238,2977,3217,3217,1452
754,1223,2963,3186,3200,1431
750,1217,2958,3175,3193,1423
747,1220,2944,3154,3191,1420
737,1169,2814,2983,3156,1382
704,1079,2711,2871,3133,1368
729,1121,2797,2974,3167,1392
737,1130,2810,2996,3177,1402
744,1148,2831,3019,3181,1404
737,1137,2790,2974,3170,1396
731,1119,2774,2952,3163,1390
732,1123,2777,2954,3162,1389
732,1123,2785,2962,3164,1391
735,1130,2790,2967,3165,1393
737,1130,2797,2977,3169,1396
734,1125,2794,2973,3168,1394
743,1139,2801,2989,3176,1403
746,1142,2815,3004,3181,1407
746,1143,2809,3000,3181,1407
747,1144,2810,3000,3180,1406
746,1143,2814,3002,3180,1407
744,1139,2810,3001,3180,1407
747,1146,2814,3002,3179,1406
747,1144,2812,3000,3179,1406
748,1146,2811,2999,3177,1404
